Iteration	Posterior	Likelihood	Prior	rate01	rate_log_sd	tree_length
0	-429.7121	-586.7943	157.0823	0.349834	2.220697	0.5570863
6	-430.4227	-587.2522	156.8294	0.4604297	2.220697	0.6691024
12	-435.5233	-592.4722	156.9489	0.3658591	2.304816	0.6124851
18	-438.2838	-595.6314	157.3476	0.2080683	2.250133	0.6949733
24	-428.7314	-586.3424	157.611	0.1337802	2.276489	0.5913116
30	-427.752	-585.2967	157.5447	0.1702459	2.223091	0.5637906
36	-432.2072	-589.3157	157.1085	0.3057	2.251639	0.6675074
42	-439.7355	-596.1594	156.4239	0.7794904	2.143985	0.7111898
48	-428.8957	-585.783	156.8873	0.5116548	2.042514	0.7287003
54	-436.3871	-592.6154	156.2283	0.9461147	2.045071	0.8606643
60	-440.6021	-597.3273	156.7252	0.491882	2.048387	0.961984
66	-440.4319	-596.839	156.4071	0.8533308	1.875422	0.961984
72	-427.94	-584.6236	156.6836	0.463515	1.894104	1.190923
78	-438.2939	-594.9628	156.669	0.5448772	1.857587	1.117887
84	-434.7931	-591.2252	156.4321	0.6485193	2.020561	1.045664
90	-435.4851	-592.5884	157.1032	0.3299316	2.227074	0.6109085
96	-443.0098	-600.1172	157.1075	0.3264608	2.154476	0.7543898
102	-442.3423	-599.1625	156.8201	0.548995	1.757235	1.065096
108	-447.9165	-603.4952	155.5787	1.854757	2.091906	0.6947889
114	-429.2173	-586.1484	156.9311	0.4844714	2.064038	0.6947889
120	-436.3214	-593.3668	157.0454	0.3357331	1.8998	1.083778
126	-433.319	-590.0767	156.7577	0.4776599	1.644189	1.316864
132	-432.6301	-588.3926	155.7625	0.8070955	1.500455	1.815998
138	-419.8194	-575.7761	155.9567	1.044738	1.448259	1.534538
144	-438.5201	-593.8168	155.2968	1.392084	1.581269	1.698481
150	-443.5196	-599.1116	155.592	1.229641	1.418517	1.698481
156	-440.5835	-596.8249	156.2414	0.5223748	1.895804	1.465819
162	-457.147	-613.6318	156.4848	0.7560913	1.877384	0.9973613
168	-442.2447	-598.7313	156.4866	0.7560913	2.085187	0.7502292
174	-442.1408	-598.2973	156.1565	0.740252	1.974014	1.22638
180	-435.0472	-591.2409	156.1937	0.7404244	1.974014	1.194516
186	-450.1076	-606.0957	155.9881	1.152488	1.927245	1.029541
192	-443.5911	-600.3079	156.7167	0.5599787	1.882416	1.028065
198	-434.5029	-590.7091	156.2063	0.8354221	2.025105	1.033619
204	-434.5107	-590.8823	156.3716	0.8354221	2.100006	0.7592738
210	-429.4912	-585.8199	156.3287	0.9368089	1.881868	0.9421501
216	-429.373	-585.2512	155.8782	1.343538	2.008056	0.8908632
222	-442.1041	-597.6245	155.5205	2.143408	1.777045	0.9562258
228	-431.3807	-586.7688	155.3881	1.98542	2.258434	0.55385
234	-440.787	-596.3621	155.5751	2.133567	1.947093	0.6649819
240	-424.8575	-581.3781	156.5207	0.6581442	1.764547	1.18565
246	-427.1475	-583.8292	156.6817	0.3616876	2.02423	1.245525
252	-436.2786	-592.6297	156.3511	0.5101606	1.906119	1.388627
258	-440.6319	-597.4734	156.8415	0.163663	1.742482	1.726061
264	-429.1669	-585.7768	156.6099	0.1508052	1.549737	2.044934
270	-432.0116	-588.3199	156.3083	0.7133586	1.784887	1.28568
276	-449.8897	-606.7188	156.8291	0.2875111	1.614112	1.577275
282	-429.4495	-586.2821	156.8326	0.3979218	2.178129	0.8875796
288	-440.8436	-597.7891	156.9454	0.3745149	1.76683	1.218216
294	-442.648	-599.3984	156.7504	0.3867184	1.876629	1.269183
300	-439.1364	-595.781	156.6446	0.4238759	1.654647	1.471516
306	-430.0838	-586.8065	156.7227	0.5547443	2.083262	0.808567
312	-430.8124	-587.5989	156.7866	0.3969136	2.2387	0.8729882
318	-439.874	-596.2899	156.416	0.6373867	1.961071	1.129983
324	-441.2012	-598.0358	156.8346	0.6073554	1.782872	0.9378493
330	-436.9458	-593.4151	156.4694	0.4179115	2.685119	0.4077388
336	-434.0968	-590.8197	156.7229	0.3035526	2.685119	0.4612889
342	-429.0472	-585.3325	156.2853	0.5289232	2.697524	0.4987471
348	-431.2796	-587.7916	156.5119	0.4073733	2.678739	0.4613335
354	-428.1011	-584.0879	155.9868	0.6436873	2.788062	0.3744734
